time_end,discharge_m3s,discharge_quality
1996-07-26 00:00:00,57.3,observed_instantaneous
1996-07-26 01:00:00,57.3,linear_interpolated_instantaneous
1996-07-26 02:00:00,57.3,linear_interpolated_instantaneous
1996-07-26 03:00:00,57.3,linear_interpolated_instantaneous
1996-07-26 04:00:00,57.3,observed_instantaneous
1996-07-26 05:00:00,55.025,linear_interpolated_instantaneous
1996-07-26 06:00:00,52.75,linear_interpolated_instantaneous
1996-07-26 07:00:00,50.475,linear_interpolated_instantaneous
1996-07-26 08:00:00,48.2,observed_instantaneous
1996-07-26 09:00:00,45.925,linear_interpolated_instantaneous
1996-07-26 10:00:00,43.650000000000006,linear_interpolated_instantaneous
1996-07-26 11:00:00,41.375,linear_interpolated_instantaneous
1996-07-26 12:00:00,39.1,observed_instantaneous
1996-07-26 13:00:00,41.9,linear_interpolated_instantaneous
1996-07-26 14:00:00,44.7,linear_interpolated_instantaneous
1996-07-26 15:00:00,47.5,linear_interpolated_instantaneous
1996-07-26 16:00:00,50.3,observed_instantaneous
1996-07-26 17:00:00,51.525,linear_interpolated_instantaneous
1996-07-26 18:00:00,52.75,linear_interpolated_instantaneous
1996-07-26 19:00:00,53.975,linear_interpolated_instantaneous
1996-07-26 20:00:00,55.2,observed_instantaneous
1996-07-26 21:00:00,55.55,linear_interpolated_instantaneous
1996-07-26 22:00:00,55.900000000000006,linear_interpolated_instantaneous
1996-07-26 23:00:00,56.25,linear_interpolated_instantaneous
1996-07-27 00:00:00,56.6,observed_instantaneous
1996-07-27 01:00:00,59.4,observed_instantaneous
1996-07-27 02:00:00,72.2,observed_instantaneous
1996-07-27 03:00:00,86.4,observed_instantaneous
1996-07-27 04:00:00,115.0,observed_instantaneous
1996-07-27 05:00:00,168.0,observed_instantaneous
1996-07-27 06:00:00,251.0,observed_instantaneous
1996-07-27 07:00:00,326.0,observed_instantaneous
1996-07-27 08:00:00,398.0,observed_instantaneous
1996-07-27 09:00:00,477.0,observed_instantaneous
1996-07-27 10:00:00,558.0,observed_instantaneous
1996-07-27 11:00:00,624.0,observed_instantaneous
1996-07-27 12:00:00,674.0,observed_instantaneous
1996-07-27 13:00:00,713.0,observed_instantaneous
1996-07-27 14:00:00,732.0,observed_instantaneous
1996-07-27 15:00:00,740.0,observed_instantaneous
1996-07-27 16:00:00,727.0,observed_instantaneous
1996-07-27 17:00:00,708.0,observed_instantaneous
1996-07-27 18:00:00,674.0,observed_instantaneous
1996-07-27 19:00:00,634.0,observed_instantaneous
1996-07-27 20:00:00,590.0,observed_instantaneous
1996-07-27 21:00:00,546.0,observed_instantaneous
1996-07-27 22:00:00,499.0,observed_instantaneous
1996-07-27 23:00:00,455.0,observed_instantaneous
1996-07-28 00:00:00,416.0,observed_instantaneous
1996-07-28 01:00:00,382.0,linear_interpolated_instantaneous
1996-07-28 02:00:00,348.0,observed_instantaneous
1996-07-28 03:00:00,321.5,linear_interpolated_instantaneous
1996-07-28 04:00:00,295.0,observed_instantaneous
1996-07-28 05:00:00,275.5,linear_interpolated_instantaneous
1996-07-28 06:00:00,256.0,observed_instantaneous
1996-07-28 07:00:00,241.5,linear_interpolated_instantaneous
1996-07-28 08:00:00,227.0,observed_instantaneous
1996-07-28 09:00:00,217.0,linear_interpolated_instantaneous
1996-07-28 10:00:00,207.0,linear_interpolated_instantaneous
1996-07-28 11:00:00,197.0,linear_interpolated_instantaneous
1996-07-28 12:00:00,187.0,observed_instantaneous
1996-07-28 13:00:00,179.0,linear_interpolated_instantaneous
1996-07-28 14:00:00,171.0,observed_instantaneous
1996-07-28 15:00:00,163.5,linear_interpolated_instantaneous
1996-07-28 16:00:00,156.0,observed_instantaneous
1996-07-28 17:00:00,150.0,linear_interpolated_instantaneous
1996-07-28 18:00:00,144.0,observed_instantaneous
1996-07-28 19:00:00,139.0,linear_interpolated_instantaneous
1996-07-28 20:00:00,134.0,observed_instantaneous
1996-07-28 21:00:00,130.0,linear_interpolated_instantaneous
1996-07-28 22:00:00,126.0,observed_instantaneous
1996-07-28 23:00:00,128.0,linear_interpolated_instantaneous
1996-07-29 00:00:00,130.0,observed_instantaneous
1996-07-29 01:00:00,140.0,linear_interpolated_instantaneous
1996-07-29 02:00:00,150.0,observed_instantaneous
1996-07-29 03:00:00,153.0,linear_interpolated_instantaneous
1996-07-29 04:00:00,156.0,observed_instantaneous
1996-07-29 05:00:00,151.5,linear_interpolated_instantaneous
1996-07-29 06:00:00,147.0,observed_instantaneous
1996-07-29 07:00:00,142.0,linear_interpolated_instantaneous
1996-07-29 08:00:00,137.0,observed_instantaneous
1996-07-29 09:00:00,131.0,linear_interpolated_instantaneous
1996-07-29 10:00:00,125.0,observed_instantaneous
1996-07-29 11:00:00,120.5,linear_interpolated_instantaneous
1996-07-29 12:00:00,116.0,observed_instantaneous
1996-07-29 13:00:00,112.0,linear_interpolated_instantaneous
1996-07-29 14:00:00,108.0,observed_instantaneous
1996-07-29 15:00:00,106.0,linear_interpolated_instantaneous
1996-07-29 16:00:00,104.0,observed_instantaneous
1996-07-29 17:00:00,104.0,linear_interpolated_instantaneous
1996-07-29 18:00:00,104.0,observed_instantaneous
1996-07-29 19:00:00,109.0,linear_interpolated_instantaneous
1996-07-29 20:00:00,114.0,observed_instantaneous
1996-07-29 21:00:00,114.5,linear_interpolated_instantaneous
1996-07-29 22:00:00,115.0,observed_instantaneous
1996-07-29 23:00:00,115.0,linear_interpolated_instantaneous
1996-07-30 00:00:00,115.0,observed_instantaneous
1996-07-30 01:00:00,113.5,linear_interpolated_instantaneous
1996-07-30 02:00:00,112.0,observed_instantaneous
1996-07-30 03:00:00,110.0,linear_interpolated_instantaneous
1996-07-30 04:00:00,108.0,linear_interpolated_instantaneous
1996-07-30 05:00:00,106.0,linear_interpolated_instantaneous
1996-07-30 06:00:00,104.0,observed_instantaneous
1996-07-30 07:00:00,101.75,linear_interpolated_instantaneous
1996-07-30 08:00:00,99.5,observed_instantaneous
1996-07-30 09:00:00,97.8,linear_interpolated_instantaneous
1996-07-30 10:00:00,96.1,observed_instantaneous
1996-07-30 11:00:00,94.5,linear_interpolated_instantaneous
1996-07-30 12:00:00,92.9,observed_instantaneous
1996-07-30 13:00:00,92.05,linear_interpolated_instantaneous
1996-07-30 14:00:00,91.2,observed_instantaneous
1996-07-30 15:00:00,90.4,linear_interpolated_instantaneous
1996-07-30 16:00:00,89.6,observed_instantaneous
1996-07-30 17:00:00,88.0,linear_interpolated_instantaneous
1996-07-30 18:00:00,86.4,observed_instantaneous
1996-07-30 19:00:00,84.35,linear_interpolated_instantaneous
1996-07-30 20:00:00,82.3,observed_instantaneous
1996-07-30 21:00:00,80.75,linear_interpolated_instantaneous
1996-07-30 22:00:00,79.2,observed_instantaneous
1996-07-30 23:00:00,78.4,linear_interpolated_instantaneous
1996-07-31 00:00:00,77.6,observed_instantaneous
1996-07-31 01:00:00,77.0,linear_interpolated_instantaneous
1996-07-31 02:00:00,76.4,linear_interpolated_instantaneous
1996-07-31 03:00:00,75.8,linear_interpolated_instantaneous
1996-07-31 04:00:00,75.2,observed_instantaneous
1996-07-31 05:00:00,77.175,linear_interpolated_instantaneous
1996-07-31 06:00:00,79.15,linear_interpolated_instantaneous
1996-07-31 07:00:00,81.125,linear_interpolated_instantaneous
1996-07-31 08:00:00,83.1,observed_instantaneous
1996-07-31 09:00:00,85.35,linear_interpolated_instantaneous
1996-07-31 10:00:00,87.6,linear_interpolated_instantaneous
1996-07-31 11:00:00,89.85,linear_interpolated_instantaneous
1996-07-31 12:00:00,92.1,observed_instantaneous
1996-07-31 13:00:00,90.075,linear_interpolated_instantaneous
1996-07-31 14:00:00,88.05,linear_interpolated_instantaneous
1996-07-31 15:00:00,86.025,linear_interpolated_instantaneous
1996-07-31 16:00:00,84.0,observed_instantaneous
1996-07-31 17:00:00,82.0,linear_interpolated_instantaneous
1996-07-31 18:00:00,80.0,linear_interpolated_instantaneous
1996-07-31 19:00:00,78.0,linear_interpolated_instantaneous
1996-07-31 20:00:00,76.0,observed_instantaneous
1996-07-31 21:00:00,74.275,linear_interpolated_instantaneous
1996-07-31 22:00:00,72.55,linear_interpolated_instantaneous
1996-07-31 23:00:00,70.82499999999999,linear_interpolated_instantaneous
1996-08-01 00:00:00,69.1,observed_instantaneous
1996-08-01 01:00:00,68.52499999999999,linear_interpolated_instantaneous
1996-08-01 02:00:00,67.94999999999999,linear_interpolated_instantaneous
1996-08-01 03:00:00,67.375,linear_interpolated_instantaneous
1996-08-01 04:00:00,66.8,linear_interpolated_instantaneous
1996-08-01 05:00:00,66.225,linear_interpolated_instantaneous
1996-08-01 06:00:00,65.65,linear_interpolated_instantaneous
1996-08-01 07:00:00,65.075,linear_interpolated_instantaneous
1996-08-01 08:00:00,64.5,observed_instantaneous
1996-08-01 09:00:00,64.15,linear_interpolated_instantaneous
1996-08-01 10:00:00,63.8,linear_interpolated_instantaneous
1996-08-01 11:00:00,63.45,linear_interpolated_instantaneous
1996-08-01 12:00:00,63.1,observed_instantaneous
1996-08-01 13:00:00,62.55,linear_interpolated_instantaneous
1996-08-01 14:00:00,62.0,linear_interpolated_instantaneous
1996-08-01 15:00:00,61.45,linear_interpolated_instantaneous
1996-08-01 16:00:00,60.9,observed_instantaneous
1996-08-01 17:00:00,59.475,linear_interpolated_instantaneous
1996-08-01 18:00:00,58.05,linear_interpolated_instantaneous
1996-08-01 19:00:00,56.625,linear_interpolated_instantaneous
1996-08-01 20:00:00,55.2,observed_instantaneous
1996-08-01 21:00:00,54.5,linear_interpolated_instantaneous
1996-08-01 22:00:00,53.8,observed_instantaneous
1996-08-01 23:00:00,54.15,linear_interpolated_instantaneous
1996-08-02 00:00:00,54.5,observed_instantaneous
1996-08-02 01:00:00,55.375,linear_interpolated_instantaneous
1996-08-02 02:00:00,56.25,linear_interpolated_instantaneous
1996-08-02 03:00:00,57.125,linear_interpolated_instantaneous
1996-08-02 04:00:00,58.0,observed_instantaneous
1996-08-02 05:00:00,58.175,linear_interpolated_instantaneous
1996-08-02 06:00:00,58.35,linear_interpolated_instantaneous
1996-08-02 07:00:00,58.525000000000006,linear_interpolated_instantaneous
1996-08-02 08:00:00,58.7,observed_instantaneous
