time_start,time_end,evaporation_mm,daily_evaporation_label,evaporation_method,discharge_m3s,discharge_quality,all_fields_present
1996-04-18 07:00:00,1996-04-18 08:00:00,0.1416666666666666,1996-04-18 08:00:00,daily_total_divided_by_24,19.5,observed_instantaneous,True
1996-04-18 08:00:00,1996-04-18 09:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,18.9,linear_interpolated_instantaneous,True
1996-04-18 09:00:00,1996-04-18 10:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,18.3,linear_interpolated_instantaneous,True
1996-04-18 10:00:00,1996-04-18 11:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,17.700000000000003,linear_interpolated_instantaneous,True
1996-04-18 11:00:00,1996-04-18 12:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,17.1,observed_instantaneous,True
1996-04-18 12:00:00,1996-04-18 13:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,16.700000000000003,linear_interpolated_instantaneous,True
1996-04-18 13:00:00,1996-04-18 14:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,16.3,linear_interpolated_instantaneous,True
1996-04-18 14:00:00,1996-04-18 15:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,15.9,linear_interpolated_instantaneous,True
1996-04-18 15:00:00,1996-04-18 16:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,15.5,observed_instantaneous,True
1996-04-18 16:00:00,1996-04-18 17:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,15.7,linear_interpolated_instantaneous,True
1996-04-18 17:00:00,1996-04-18 18:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,15.9,linear_interpolated_instantaneous,True
1996-04-18 18:00:00,1996-04-18 19:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,16.1,linear_interpolated_instantaneous,True
1996-04-18 19:00:00,1996-04-18 20:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,16.3,observed_instantaneous,True
1996-04-18 20:00:00,1996-04-18 21:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,16.8,linear_interpolated_instantaneous,True
1996-04-18 21:00:00,1996-04-18 22:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,17.3,linear_interpolated_instantaneous,True
1996-04-18 22:00:00,1996-04-18 23:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,17.8,linear_interpolated_instantaneous,True
1996-04-18 23:00:00,1996-04-19 00:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,18.3,observed_instantaneous,True
1996-04-19 00:00:00,1996-04-19 01:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,18.3,observed_instantaneous,True
1996-04-19 01:00:00,1996-04-19 02:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,18.7,observed_instantaneous,True
1996-04-19 02:00:00,1996-04-19 03:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,19.5,observed_instantaneous,True
1996-04-19 03:00:00,1996-04-19 04:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,20.4,observed_instantaneous,True
1996-04-19 04:00:00,1996-04-19 05:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,21.2,observed_instantaneous,True
1996-04-19 05:00:00,1996-04-19 06:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,22.9,observed_instantaneous,True
1996-04-19 06:00:00,1996-04-19 07:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,25.5,observed_instantaneous,True
1996-04-19 07:00:00,1996-04-19 08:00:00,0.2125,1996-04-19 08:00:00,daily_total_divided_by_24,28.9,observed_instantaneous,True
1996-04-19 08:00:00,1996-04-19 09:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,34.2,observed_instantaneous,True
1996-04-19 09:00:00,1996-04-19 10:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,42.1,observed_instantaneous,True
1996-04-19 10:00:00,1996-04-19 11:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,60.0,observed_instantaneous,True
1996-04-19 11:00:00,1996-04-19 12:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,89.3,observed_instantaneous,True
1996-04-19 12:00:00,1996-04-19 13:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,137.0,observed_instantaneous,True
1996-04-19 13:00:00,1996-04-19 14:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,189.0,observed_instantaneous,True
1996-04-19 14:00:00,1996-04-19 15:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,256.0,observed_instantaneous,True
1996-04-19 15:00:00,1996-04-19 16:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,347.0,observed_instantaneous,True
1996-04-19 16:00:00,1996-04-19 17:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,415.0,observed_instantaneous,True
1996-04-19 17:00:00,1996-04-19 18:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,454.0,observed_instantaneous,True
1996-04-19 18:00:00,1996-04-19 19:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,467.0,observed_instantaneous,True
1996-04-19 19:00:00,1996-04-19 20:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,461.0,observed_instantaneous,True
1996-04-19 20:00:00,1996-04-19 21:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,441.0,observed_instantaneous,True
1996-04-19 21:00:00,1996-04-19 22:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,415.0,observed_instantaneous,True
1996-04-19 22:00:00,1996-04-19 23:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,385.0,observed_instantaneous,True
1996-04-19 23:00:00,1996-04-20 00:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,354.0,linear_interpolated_instantaneous,True
1996-04-20 00:00:00,1996-04-20 01:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,323.0,linear_interpolated_instantaneous,True
1996-04-20 01:00:00,1996-04-20 02:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,292.0,observed_instantaneous,True
1996-04-20 02:00:00,1996-04-20 03:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,264.0,linear_interpolated_instantaneous,True
1996-04-20 03:00:00,1996-04-20 04:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,236.0,observed_instantaneous,True
1996-04-20 04:00:00,1996-04-20 05:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,215.5,linear_interpolated_instantaneous,True
1996-04-20 05:00:00,1996-04-20 06:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,195.0,observed_instantaneous,True
1996-04-20 06:00:00,1996-04-20 07:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,178.0,linear_interpolated_instantaneous,True
1996-04-20 07:00:00,1996-04-20 08:00:00,0.0916666666666666,1996-04-20 08:00:00,daily_total_divided_by_24,161.0,observed_instantaneous,True
1996-04-20 08:00:00,1996-04-20 09:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,149.5,linear_interpolated_instantaneous,True
1996-04-20 09:00:00,1996-04-20 10:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,138.0,observed_instantaneous,True
1996-04-20 10:00:00,1996-04-20 11:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,130.0,linear_interpolated_instantaneous,True
1996-04-20 11:00:00,1996-04-20 12:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,122.0,observed_instantaneous,True
1996-04-20 12:00:00,1996-04-20 13:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,116.0,linear_interpolated_instantaneous,True
1996-04-20 13:00:00,1996-04-20 14:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,110.0,observed_instantaneous,True
1996-04-20 14:00:00,1996-04-20 15:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,106.0,linear_interpolated_instantaneous,True
1996-04-20 15:00:00,1996-04-20 16:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,102.0,observed_instantaneous,True
1996-04-20 16:00:00,1996-04-20 17:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,98.25,linear_interpolated_instantaneous,True
1996-04-20 17:00:00,1996-04-20 18:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,94.5,observed_instantaneous,True
1996-04-20 18:00:00,1996-04-20 19:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,90.85,linear_interpolated_instantaneous,True
1996-04-20 19:00:00,1996-04-20 20:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,87.2,observed_instantaneous,True
1996-04-20 20:00:00,1996-04-20 21:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,85.15,linear_interpolated_instantaneous,True
1996-04-20 21:00:00,1996-04-20 22:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,83.1,observed_instantaneous,True
1996-04-20 22:00:00,1996-04-20 23:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,80.55,linear_interpolated_instantaneous,True
1996-04-20 23:00:00,1996-04-21 00:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,78.0,observed_instantaneous,True
1996-04-21 00:00:00,1996-04-21 01:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,75.8,linear_interpolated_instantaneous,True
1996-04-21 01:00:00,1996-04-21 02:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,73.6,linear_interpolated_instantaneous,True
1996-04-21 02:00:00,1996-04-21 03:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,71.4,linear_interpolated_instantaneous,True
1996-04-21 03:00:00,1996-04-21 04:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,69.2,observed_instantaneous,True
1996-04-21 04:00:00,1996-04-21 05:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,67.15,linear_interpolated_instantaneous,True
1996-04-21 05:00:00,1996-04-21 06:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,65.1,linear_interpolated_instantaneous,True
1996-04-21 06:00:00,1996-04-21 07:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,63.05,linear_interpolated_instantaneous,True
1996-04-21 07:00:00,1996-04-21 08:00:00,0.2041666666666667,1996-04-21 08:00:00,daily_total_divided_by_24,61.0,observed_instantaneous,True
1996-04-21 08:00:00,1996-04-21 09:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,58.05,linear_interpolated_instantaneous,True
1996-04-21 09:00:00,1996-04-21 10:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,55.1,linear_interpolated_instantaneous,True
1996-04-21 10:00:00,1996-04-21 11:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,52.150000000000006,linear_interpolated_instantaneous,True
1996-04-21 11:00:00,1996-04-21 12:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,49.2,observed_instantaneous,True
1996-04-21 12:00:00,1996-04-21 13:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,47.150000000000006,linear_interpolated_instantaneous,True
1996-04-21 13:00:00,1996-04-21 14:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,45.1,linear_interpolated_instantaneous,True
1996-04-21 14:00:00,1996-04-21 15:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,43.05,linear_interpolated_instantaneous,True
1996-04-21 15:00:00,1996-04-21 16:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,41.0,observed_instantaneous,True
1996-04-21 16:00:00,1996-04-21 17:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,39.3,linear_interpolated_instantaneous,True
1996-04-21 17:00:00,1996-04-21 18:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,37.6,linear_interpolated_instantaneous,True
1996-04-21 18:00:00,1996-04-21 19:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,35.900000000000006,linear_interpolated_instantaneous,True
1996-04-21 19:00:00,1996-04-21 20:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,34.2,observed_instantaneous,True
1996-04-21 20:00:00,1996-04-21 21:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,33.900000000000006,linear_interpolated_instantaneous,True
1996-04-21 21:00:00,1996-04-21 22:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,33.6,linear_interpolated_instantaneous,True
1996-04-21 22:00:00,1996-04-21 23:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,33.3,linear_interpolated_instantaneous,True
1996-04-21 23:00:00,1996-04-22 00:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,33.0,observed_instantaneous,True
1996-04-22 00:00:00,1996-04-22 01:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,33.725,linear_interpolated_instantaneous,True
1996-04-22 01:00:00,1996-04-22 02:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,34.45,linear_interpolated_instantaneous,True
1996-04-22 02:00:00,1996-04-22 03:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,35.175,linear_interpolated_instantaneous,True
1996-04-22 03:00:00,1996-04-22 04:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,35.9,observed_instantaneous,True
1996-04-22 04:00:00,1996-04-22 05:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,34.6,linear_interpolated_instantaneous,True
1996-04-22 05:00:00,1996-04-22 06:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,33.3,linear_interpolated_instantaneous,True
1996-04-22 06:00:00,1996-04-22 07:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,32.0,linear_interpolated_instantaneous,True
1996-04-22 07:00:00,1996-04-22 08:00:00,0.1416666666666666,1996-04-22 08:00:00,daily_total_divided_by_24,30.7,observed_instantaneous,True
1996-04-22 08:00:00,1996-04-22 09:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,29.525,linear_interpolated_instantaneous,True
1996-04-22 09:00:00,1996-04-22 10:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,28.35,linear_interpolated_instantaneous,True
1996-04-22 10:00:00,1996-04-22 11:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,27.175,linear_interpolated_instantaneous,True
1996-04-22 11:00:00,1996-04-22 12:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,26.0,observed_instantaneous,True
1996-04-22 12:00:00,1996-04-22 13:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,25.225,linear_interpolated_instantaneous,True
1996-04-22 13:00:00,1996-04-22 14:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,24.45,linear_interpolated_instantaneous,True
1996-04-22 14:00:00,1996-04-22 15:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,23.675,linear_interpolated_instantaneous,True
1996-04-22 15:00:00,1996-04-22 16:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,22.9,observed_instantaneous,True
1996-04-22 16:00:00,1996-04-22 17:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,22.475,linear_interpolated_instantaneous,True
1996-04-22 17:00:00,1996-04-22 18:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,22.05,linear_interpolated_instantaneous,True
1996-04-22 18:00:00,1996-04-22 19:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,21.625,linear_interpolated_instantaneous,True
1996-04-22 19:00:00,1996-04-22 20:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,21.2,observed_instantaneous,True
1996-04-22 20:00:00,1996-04-22 21:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,21.0,linear_interpolated_instantaneous,True
1996-04-22 21:00:00,1996-04-22 22:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.8,linear_interpolated_instantaneous,True
1996-04-22 22:00:00,1996-04-22 23:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.6,linear_interpolated_instantaneous,True
1996-04-22 23:00:00,1996-04-23 00:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.4,observed_instantaneous,True
1996-04-23 00:00:00,1996-04-23 01:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.4,linear_interpolated_instantaneous,True
1996-04-23 01:00:00,1996-04-23 02:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.4,linear_interpolated_instantaneous,True
1996-04-23 02:00:00,1996-04-23 03:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.4,linear_interpolated_instantaneous,True
1996-04-23 03:00:00,1996-04-23 04:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.4,observed_instantaneous,True
1996-04-23 04:00:00,1996-04-23 05:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.275,linear_interpolated_instantaneous,True
1996-04-23 05:00:00,1996-04-23 06:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.15,linear_interpolated_instantaneous,True
1996-04-23 06:00:00,1996-04-23 07:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,20.025,linear_interpolated_instantaneous,True
1996-04-23 07:00:00,1996-04-23 08:00:00,0.15,1996-04-23 08:00:00,daily_total_divided_by_24,19.9,observed_instantaneous,True
1996-04-23 08:00:00,1996-04-23 09:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,19.5,linear_interpolated_instantaneous,True
1996-04-23 09:00:00,1996-04-23 10:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,19.1,linear_interpolated_instantaneous,True
1996-04-23 10:00:00,1996-04-23 11:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,18.7,linear_interpolated_instantaneous,True
1996-04-23 11:00:00,1996-04-23 12:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,18.3,observed_instantaneous,True
1996-04-23 12:00:00,1996-04-23 13:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,17.9,linear_interpolated_instantaneous,True
1996-04-23 13:00:00,1996-04-23 14:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,17.5,linear_interpolated_instantaneous,True
1996-04-23 14:00:00,1996-04-23 15:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,17.1,linear_interpolated_instantaneous,True
1996-04-23 15:00:00,1996-04-23 16:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,16.7,observed_instantaneous,True
1996-04-23 16:00:00,1996-04-23 17:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,16.8,linear_interpolated_instantaneous,True
1996-04-23 17:00:00,1996-04-23 18:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,16.9,linear_interpolated_instantaneous,True
1996-04-23 18:00:00,1996-04-23 19:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,17.0,linear_interpolated_instantaneous,True
1996-04-23 19:00:00,1996-04-23 20:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,17.1,observed_instantaneous,True
1996-04-23 20:00:00,1996-04-23 21:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,17.5,linear_interpolated_instantaneous,True
1996-04-23 21:00:00,1996-04-23 22:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,17.9,linear_interpolated_instantaneous,True
1996-04-23 22:00:00,1996-04-23 23:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,18.3,linear_interpolated_instantaneous,True
1996-04-23 23:00:00,1996-04-24 00:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,18.7,observed_instantaneous,True
1996-04-24 00:00:00,1996-04-24 01:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,19.125,linear_interpolated_instantaneous,True
1996-04-24 01:00:00,1996-04-24 02:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,19.55,linear_interpolated_instantaneous,True
1996-04-24 02:00:00,1996-04-24 03:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,19.975,linear_interpolated_instantaneous,True
1996-04-24 03:00:00,1996-04-24 04:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,20.4,observed_instantaneous,True
1996-04-24 04:00:00,1996-04-24 05:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,20.175,linear_interpolated_instantaneous,True
1996-04-24 05:00:00,1996-04-24 06:00:00,0.0958333333333333,1996-04-24 08:00:00,daily_total_divided_by_24,19.95,linear_interpolated_instantaneous,True
