time_end,discharge_m3s,discharge_quality
1993-09-17 00:00:00,22.0,observed_instantaneous
1993-09-17 01:00:00,23.5,linear_interpolated_instantaneous
1993-09-17 02:00:00,25.0,observed_instantaneous
1993-09-17 03:00:00,29.5,linear_interpolated_instantaneous
1993-09-17 04:00:00,34.0,observed_instantaneous
1993-09-17 05:00:00,37.0,linear_interpolated_instantaneous
1993-09-17 06:00:00,40.0,observed_instantaneous
1993-09-17 07:00:00,38.5,linear_interpolated_instantaneous
1993-09-17 08:00:00,37.0,observed_instantaneous
1993-09-17 09:00:00,34.5,linear_interpolated_instantaneous
1993-09-17 10:00:00,32.0,linear_interpolated_instantaneous
1993-09-17 11:00:00,29.5,linear_interpolated_instantaneous
1993-09-17 12:00:00,27.0,observed_instantaneous
1993-09-17 13:00:00,28.0,linear_interpolated_instantaneous
1993-09-17 14:00:00,29.0,observed_instantaneous
1993-09-17 15:00:00,36.0,linear_interpolated_instantaneous
1993-09-17 16:00:00,43.0,observed_instantaneous
1993-09-17 17:00:00,55.25,linear_interpolated_instantaneous
1993-09-17 18:00:00,67.5,linear_interpolated_instantaneous
1993-09-17 19:00:00,79.75,linear_interpolated_instantaneous
1993-09-17 20:00:00,92.0,observed_instantaneous
1993-09-17 21:00:00,124.5,linear_interpolated_instantaneous
1993-09-17 22:00:00,157.0,linear_interpolated_instantaneous
1993-09-17 23:00:00,189.5,linear_interpolated_instantaneous
1993-09-18 00:00:00,222.0,linear_interpolated_instantaneous
1993-09-18 01:00:00,254.5,linear_interpolated_instantaneous
1993-09-18 02:00:00,287.0,observed_instantaneous
1993-09-18 03:00:00,326.0,linear_interpolated_instantaneous
1993-09-18 04:00:00,365.0,observed_instantaneous
1993-09-18 05:00:00,388.0,linear_interpolated_instantaneous
1993-09-18 06:00:00,411.0,observed_instantaneous
1993-09-18 07:00:00,416.0,linear_interpolated_instantaneous
1993-09-18 08:00:00,421.0,observed_instantaneous
1993-09-18 09:00:00,415.0,linear_interpolated_instantaneous
1993-09-18 10:00:00,409.0,observed_instantaneous
1993-09-18 11:00:00,397.0,linear_interpolated_instantaneous
1993-09-18 12:00:00,385.0,observed_instantaneous
1993-09-18 13:00:00,364.25,linear_interpolated_instantaneous
1993-09-18 14:00:00,343.5,linear_interpolated_instantaneous
1993-09-18 15:00:00,322.75,linear_interpolated_instantaneous
1993-09-18 16:00:00,302.0,observed_instantaneous
1993-09-18 17:00:00,291.0,linear_interpolated_instantaneous
1993-09-18 18:00:00,280.0,observed_instantaneous
1993-09-18 19:00:00,283.5,linear_interpolated_instantaneous
1993-09-18 20:00:00,287.0,observed_instantaneous
1993-09-18 21:00:00,305.0,linear_interpolated_instantaneous
1993-09-18 22:00:00,323.0,observed_instantaneous
1993-09-18 23:00:00,332.0,linear_interpolated_instantaneous
1993-09-19 00:00:00,341.0,observed_instantaneous
1993-09-19 01:00:00,337.0,linear_interpolated_instantaneous
1993-09-19 02:00:00,333.0,linear_interpolated_instantaneous
1993-09-19 03:00:00,329.0,linear_interpolated_instantaneous
1993-09-19 04:00:00,325.0,observed_instantaneous
1993-09-19 05:00:00,320.5,linear_interpolated_instantaneous
1993-09-19 06:00:00,316.0,observed_instantaneous
1993-09-19 07:00:00,306.5,linear_interpolated_instantaneous
1993-09-19 08:00:00,297.0,observed_instantaneous
1993-09-19 09:00:00,282.5,linear_interpolated_instantaneous
1993-09-19 10:00:00,268.0,linear_interpolated_instantaneous
1993-09-19 11:00:00,253.5,linear_interpolated_instantaneous
1993-09-19 12:00:00,239.0,linear_interpolated_instantaneous
1993-09-19 13:00:00,224.5,linear_interpolated_instantaneous
1993-09-19 14:00:00,210.0,observed_instantaneous
1993-09-19 15:00:00,201.5,linear_interpolated_instantaneous
1993-09-19 16:00:00,193.0,observed_instantaneous
1993-09-19 17:00:00,188.0,linear_interpolated_instantaneous
1993-09-19 18:00:00,183.0,observed_instantaneous
1993-09-19 19:00:00,182.5,linear_interpolated_instantaneous
1993-09-19 20:00:00,182.0,observed_instantaneous
1993-09-19 21:00:00,178.5,linear_interpolated_instantaneous
1993-09-19 22:00:00,175.0,observed_instantaneous
1993-09-19 23:00:00,169.0,linear_interpolated_instantaneous
1993-09-20 00:00:00,163.0,observed_instantaneous
1993-09-20 01:00:00,159.5,linear_interpolated_instantaneous
1993-09-20 02:00:00,156.0,observed_instantaneous
1993-09-20 03:00:00,160.0,linear_interpolated_instantaneous
1993-09-20 04:00:00,164.0,observed_instantaneous
1993-09-20 05:00:00,165.5,linear_interpolated_instantaneous
1993-09-20 06:00:00,167.0,observed_instantaneous
1993-09-20 07:00:00,160.0,linear_interpolated_instantaneous
1993-09-20 08:00:00,153.0,observed_instantaneous
1993-09-20 09:00:00,146.5,linear_interpolated_instantaneous
1993-09-20 10:00:00,140.0,linear_interpolated_instantaneous
1993-09-20 11:00:00,133.5,linear_interpolated_instantaneous
1993-09-20 12:00:00,127.0,linear_interpolated_instantaneous
1993-09-20 13:00:00,120.5,linear_interpolated_instantaneous
1993-09-20 14:00:00,114.0,observed_instantaneous
1993-09-20 15:00:00,110.5,linear_interpolated_instantaneous
1993-09-20 16:00:00,107.0,observed_instantaneous
1993-09-20 17:00:00,105.0,linear_interpolated_instantaneous
