time_start,time_end,evaporation_mm,daily_evaporation_label,evaporation_method,discharge_m3s,discharge_quality,all_fields_present
1989-05-19 23:00:00,1989-05-20 00:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,32.1,observed_instantaneous,True
1989-05-20 00:00:00,1989-05-20 01:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,31.15,linear_interpolated_instantaneous,True
1989-05-20 01:00:00,1989-05-20 02:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,30.2,observed_instantaneous,True
1989-05-20 02:00:00,1989-05-20 03:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,30.2,linear_interpolated_instantaneous,True
1989-05-20 03:00:00,1989-05-20 04:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,30.2,observed_instantaneous,True
1989-05-20 04:00:00,1989-05-20 05:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,30.425,linear_interpolated_instantaneous,True
1989-05-20 05:00:00,1989-05-20 06:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,30.65,linear_interpolated_instantaneous,True
1989-05-20 06:00:00,1989-05-20 07:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,30.875,linear_interpolated_instantaneous,True
1989-05-20 07:00:00,1989-05-20 08:00:00,0.0333333333333333,1989-05-20 08:00:00,daily_total_divided_by_24,31.1,observed_instantaneous,True
1989-05-20 08:00:00,1989-05-20 09:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,31.433333333333334,linear_interpolated_instantaneous,True
1989-05-20 09:00:00,1989-05-20 10:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,31.76666666666667,linear_interpolated_instantaneous,True
1989-05-20 10:00:00,1989-05-20 11:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,32.1,linear_interpolated_instantaneous,True
1989-05-20 11:00:00,1989-05-20 12:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,32.43333333333334,linear_interpolated_instantaneous,True
1989-05-20 12:00:00,1989-05-20 13:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,32.766666666666666,linear_interpolated_instantaneous,True
1989-05-20 13:00:00,1989-05-20 14:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,33.1,observed_instantaneous,True
1989-05-20 14:00:00,1989-05-20 15:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,34.1,linear_interpolated_instantaneous,True
1989-05-20 15:00:00,1989-05-20 16:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,35.1,observed_instantaneous,True
1989-05-20 16:00:00,1989-05-20 17:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,38.85,linear_interpolated_instantaneous,True
1989-05-20 17:00:00,1989-05-20 18:00:00,0.0,1989-05-21 08:00:00,daily_total_divided_by_24,42.6,observed_instantaneous,True
