time_start,time_end,evaporation_mm,daily_evaporation_label,evaporation_method,discharge_m3s,discharge_quality,all_fields_present
2001-07-24 23:00:00,2001-07-25 00:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,94.8,observed_instantaneous,True
2001-07-25 00:00:00,2001-07-25 01:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,95.3,linear_interpolated_instantaneous,True
2001-07-25 01:00:00,2001-07-25 02:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,95.8,linear_interpolated_instantaneous,True
2001-07-25 02:00:00,2001-07-25 03:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,96.3,linear_interpolated_instantaneous,True
2001-07-25 03:00:00,2001-07-25 04:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,96.8,observed_instantaneous,True
2001-07-25 04:00:00,2001-07-25 05:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,96.05,linear_interpolated_instantaneous,True
2001-07-25 05:00:00,2001-07-25 06:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,95.3,linear_interpolated_instantaneous,True
2001-07-25 06:00:00,2001-07-25 07:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,94.55,linear_interpolated_instantaneous,True
2001-07-25 07:00:00,2001-07-25 08:00:00,0.1083333333333333,2001-07-25 08:00:00,daily_total_divided_by_24,93.8,observed_instantaneous,True
2001-07-25 08:00:00,2001-07-25 09:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.05,linear_interpolated_instantaneous,True
2001-07-25 09:00:00,2001-07-25 10:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.3,linear_interpolated_instantaneous,True
2001-07-25 10:00:00,2001-07-25 11:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.55,linear_interpolated_instantaneous,True
2001-07-25 11:00:00,2001-07-25 12:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.8,observed_instantaneous,True
2001-07-25 12:00:00,2001-07-25 13:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.8,linear_interpolated_instantaneous,True
2001-07-25 13:00:00,2001-07-25 14:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.8,linear_interpolated_instantaneous,True
2001-07-25 14:00:00,2001-07-25 15:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.8,linear_interpolated_instantaneous,True
2001-07-25 15:00:00,2001-07-25 16:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,94.8,observed_instantaneous,True
2001-07-25 16:00:00,2001-07-25 17:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,96.85,linear_interpolated_instantaneous,True
2001-07-25 17:00:00,2001-07-25 18:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,98.9,linear_interpolated_instantaneous,True
2001-07-25 18:00:00,2001-07-25 19:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,100.95,linear_interpolated_instantaneous,True
2001-07-25 19:00:00,2001-07-25 20:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,103.0,observed_instantaneous,True
2001-07-25 20:00:00,2001-07-25 21:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,106.75,linear_interpolated_instantaneous,True
2001-07-25 21:00:00,2001-07-25 22:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,110.5,linear_interpolated_instantaneous,True
2001-07-25 22:00:00,2001-07-25 23:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,114.25,linear_interpolated_instantaneous,True
2001-07-25 23:00:00,2001-07-26 00:00:00,0.1416666666666666,2001-07-26 08:00:00,daily_total_divided_by_24,118.0,observed_instantaneous,True
