time_end,discharge_m3s,discharge_quality
2001-07-25 00:00:00,94.8,observed_instantaneous
2001-07-25 01:00:00,95.3,linear_interpolated_instantaneous
2001-07-25 02:00:00,95.8,linear_interpolated_instantaneous
2001-07-25 03:00:00,96.3,linear_interpolated_instantaneous
2001-07-25 04:00:00,96.8,observed_instantaneous
2001-07-25 05:00:00,96.05,linear_interpolated_instantaneous
2001-07-25 06:00:00,95.3,linear_interpolated_instantaneous
2001-07-25 07:00:00,94.55,linear_interpolated_instantaneous
2001-07-25 08:00:00,93.8,observed_instantaneous
2001-07-25 09:00:00,94.05,linear_interpolated_instantaneous
2001-07-25 10:00:00,94.3,linear_interpolated_instantaneous
2001-07-25 11:00:00,94.55,linear_interpolated_instantaneous
2001-07-25 12:00:00,94.8,observed_instantaneous
2001-07-25 13:00:00,94.8,linear_interpolated_instantaneous
2001-07-25 14:00:00,94.8,linear_interpolated_instantaneous
2001-07-25 15:00:00,94.8,linear_interpolated_instantaneous
2001-07-25 16:00:00,94.8,observed_instantaneous
2001-07-25 17:00:00,96.85,linear_interpolated_instantaneous
2001-07-25 18:00:00,98.9,linear_interpolated_instantaneous
2001-07-25 19:00:00,100.95,linear_interpolated_instantaneous
2001-07-25 20:00:00,103.0,observed_instantaneous
2001-07-25 21:00:00,106.75,linear_interpolated_instantaneous
2001-07-25 22:00:00,110.5,linear_interpolated_instantaneous
2001-07-25 23:00:00,114.25,linear_interpolated_instantaneous
2001-07-26 00:00:00,118.0,observed_instantaneous
2001-07-26 01:00:00,119.0,linear_interpolated_instantaneous
2001-07-26 02:00:00,120.0,observed_instantaneous
2001-07-26 03:00:00,121.5,linear_interpolated_instantaneous
2001-07-26 04:00:00,123.0,observed_instantaneous
2001-07-26 05:00:00,128.5,linear_interpolated_instantaneous
2001-07-26 06:00:00,134.0,observed_instantaneous
2001-07-26 07:00:00,154.0,linear_interpolated_instantaneous
2001-07-26 08:00:00,174.0,observed_instantaneous
2001-07-26 09:00:00,222.0,linear_interpolated_instantaneous
2001-07-26 10:00:00,270.0,observed_instantaneous
2001-07-26 11:00:00,358.5,linear_interpolated_instantaneous
2001-07-26 12:00:00,447.0,observed_instantaneous
2001-07-26 13:00:00,506.5,linear_interpolated_instantaneous
2001-07-26 14:00:00,566.0,observed_instantaneous
2001-07-26 15:00:00,597.0,linear_interpolated_instantaneous
2001-07-26 16:00:00,628.0,observed_instantaneous
2001-07-26 17:00:00,642.0,linear_interpolated_instantaneous
2001-07-26 18:00:00,656.0,observed_instantaneous
2001-07-26 19:00:00,660.5,linear_interpolated_instantaneous
2001-07-26 20:00:00,665.0,observed_instantaneous
2001-07-26 21:00:00,654.5,linear_interpolated_instantaneous
2001-07-26 22:00:00,644.0,observed_instantaneous
2001-07-26 23:00:00,617.5,linear_interpolated_instantaneous
2001-07-27 00:00:00,591.0,observed_instantaneous
2001-07-27 01:00:00,553.375,linear_interpolated_instantaneous
2001-07-27 02:00:00,515.75,linear_interpolated_instantaneous
2001-07-27 03:00:00,478.125,linear_interpolated_instantaneous
2001-07-27 04:00:00,440.5,linear_interpolated_instantaneous
2001-07-27 05:00:00,402.875,linear_interpolated_instantaneous
2001-07-27 06:00:00,365.25,linear_interpolated_instantaneous
2001-07-27 07:00:00,327.625,linear_interpolated_instantaneous
2001-07-27 08:00:00,290.0,observed_instantaneous
2001-07-27 09:00:00,278.0,linear_interpolated_instantaneous
2001-07-27 10:00:00,266.0,linear_interpolated_instantaneous
2001-07-27 11:00:00,254.0,linear_interpolated_instantaneous
2001-07-27 12:00:00,242.0,linear_interpolated_instantaneous
2001-07-27 13:00:00,230.0,linear_interpolated_instantaneous
2001-07-27 14:00:00,218.0,observed_instantaneous
2001-07-27 15:00:00,211.0,linear_interpolated_instantaneous
2001-07-27 16:00:00,204.0,linear_interpolated_instantaneous
2001-07-27 17:00:00,197.0,linear_interpolated_instantaneous
2001-07-27 18:00:00,190.0,linear_interpolated_instantaneous
2001-07-27 19:00:00,183.0,linear_interpolated_instantaneous
2001-07-27 20:00:00,176.0,observed_instantaneous
2001-07-27 21:00:00,173.125,linear_interpolated_instantaneous
2001-07-27 22:00:00,170.25,linear_interpolated_instantaneous
2001-07-27 23:00:00,167.375,linear_interpolated_instantaneous
2001-07-28 00:00:00,164.5,linear_interpolated_instantaneous
2001-07-28 01:00:00,161.625,linear_interpolated_instantaneous
2001-07-28 02:00:00,158.75,linear_interpolated_instantaneous
2001-07-28 03:00:00,155.875,linear_interpolated_instantaneous
2001-07-28 04:00:00,153.0,observed_instantaneous
2001-07-28 05:00:00,151.5,linear_interpolated_instantaneous
2001-07-28 06:00:00,150.0,linear_interpolated_instantaneous
2001-07-28 07:00:00,148.5,linear_interpolated_instantaneous
2001-07-28 08:00:00,147.0,observed_instantaneous
2001-07-28 09:00:00,146.25,linear_interpolated_instantaneous
2001-07-28 10:00:00,145.5,linear_interpolated_instantaneous
2001-07-28 11:00:00,144.75,linear_interpolated_instantaneous
2001-07-28 12:00:00,144.0,observed_instantaneous
2001-07-28 13:00:00,142.625,linear_interpolated_instantaneous
2001-07-28 14:00:00,141.25,linear_interpolated_instantaneous
2001-07-28 15:00:00,139.875,linear_interpolated_instantaneous
2001-07-28 16:00:00,138.5,linear_interpolated_instantaneous
2001-07-28 17:00:00,137.125,linear_interpolated_instantaneous
2001-07-28 18:00:00,135.75,linear_interpolated_instantaneous
2001-07-28 19:00:00,134.375,linear_interpolated_instantaneous
2001-07-28 20:00:00,133.0,observed_instantaneous
2001-07-28 21:00:00,132.375,linear_interpolated_instantaneous
2001-07-28 22:00:00,131.75,linear_interpolated_instantaneous
2001-07-28 23:00:00,131.125,linear_interpolated_instantaneous
2001-07-29 00:00:00,130.5,linear_interpolated_instantaneous
2001-07-29 01:00:00,129.875,linear_interpolated_instantaneous
2001-07-29 02:00:00,129.25,linear_interpolated_instantaneous
2001-07-29 03:00:00,128.625,linear_interpolated_instantaneous
2001-07-29 04:00:00,128.0,observed_instantaneous
2001-07-29 05:00:00,127.25,linear_interpolated_instantaneous
2001-07-29 06:00:00,126.5,linear_interpolated_instantaneous
2001-07-29 07:00:00,125.75,linear_interpolated_instantaneous
2001-07-29 08:00:00,125.0,observed_instantaneous
2001-07-29 09:00:00,124.75,linear_interpolated_instantaneous
2001-07-29 10:00:00,124.5,linear_interpolated_instantaneous
2001-07-29 11:00:00,124.25,linear_interpolated_instantaneous
2001-07-29 12:00:00,124.0,linear_interpolated_instantaneous
2001-07-29 13:00:00,123.75,linear_interpolated_instantaneous
2001-07-29 14:00:00,123.5,linear_interpolated_instantaneous
2001-07-29 15:00:00,123.25,linear_interpolated_instantaneous
2001-07-29 16:00:00,123.0,observed_instantaneous
2001-07-29 17:00:00,121.5,linear_interpolated_instantaneous
2001-07-29 18:00:00,120.0,linear_interpolated_instantaneous
2001-07-29 19:00:00,118.5,linear_interpolated_instantaneous
2001-07-29 20:00:00,117.0,observed_instantaneous
2001-07-29 21:00:00,115.5,linear_interpolated_instantaneous
2001-07-29 22:00:00,114.0,linear_interpolated_instantaneous
2001-07-29 23:00:00,112.5,linear_interpolated_instantaneous
2001-07-30 00:00:00,111.0,observed_instantaneous
2001-07-30 01:00:00,111.0,linear_interpolated_instantaneous
2001-07-30 02:00:00,111.0,linear_interpolated_instantaneous
2001-07-30 03:00:00,111.0,linear_interpolated_instantaneous
2001-07-30 04:00:00,111.0,observed_instantaneous
2001-07-30 05:00:00,111.75,linear_interpolated_instantaneous
2001-07-30 06:00:00,112.5,linear_interpolated_instantaneous
2001-07-30 07:00:00,113.25,linear_interpolated_instantaneous
2001-07-30 08:00:00,114.0,observed_instantaneous
2001-07-30 09:00:00,114.5,linear_interpolated_instantaneous
2001-07-30 10:00:00,115.0,linear_interpolated_instantaneous
2001-07-30 11:00:00,115.5,linear_interpolated_instantaneous
2001-07-30 12:00:00,116.0,observed_instantaneous
2001-07-30 13:00:00,115.5,linear_interpolated_instantaneous
2001-07-30 14:00:00,115.0,linear_interpolated_instantaneous
2001-07-30 15:00:00,114.5,linear_interpolated_instantaneous
2001-07-30 16:00:00,114.0,observed_instantaneous
