time_end,discharge_m3s,discharge_quality
1993-08-20 00:00:00,39.0,observed_instantaneous
1993-08-20 01:00:00,40.5,linear_interpolated_instantaneous
1993-08-20 02:00:00,42.0,observed_instantaneous
1993-08-20 03:00:00,42.0,linear_interpolated_instantaneous
1993-08-20 04:00:00,42.0,observed_instantaneous
1993-08-20 05:00:00,41.0,linear_interpolated_instantaneous
1993-08-20 06:00:00,40.0,observed_instantaneous
1993-08-20 07:00:00,36.5,linear_interpolated_instantaneous
1993-08-20 08:00:00,33.0,observed_instantaneous
1993-08-20 09:00:00,32.0,linear_interpolated_instantaneous
1993-08-20 10:00:00,31.0,observed_instantaneous
1993-08-20 11:00:00,28.5,linear_interpolated_instantaneous
1993-08-20 12:00:00,26.0,observed_instantaneous
1993-08-20 13:00:00,25.0,linear_interpolated_instantaneous
1993-08-20 14:00:00,24.0,observed_instantaneous
1993-08-20 15:00:00,24.0,linear_interpolated_instantaneous
1993-08-20 16:00:00,24.0,observed_instantaneous
1993-08-20 17:00:00,25.5,linear_interpolated_instantaneous
1993-08-20 18:00:00,27.0,observed_instantaneous
1993-08-20 19:00:00,30.0,linear_interpolated_instantaneous
1993-08-20 20:00:00,33.0,observed_instantaneous
1993-08-20 21:00:00,33.5,linear_interpolated_instantaneous
1993-08-20 22:00:00,34.0,observed_instantaneous
1993-08-20 23:00:00,32.5,linear_interpolated_instantaneous
1993-08-21 00:00:00,31.0,observed_instantaneous
1993-08-21 01:00:00,33.5,linear_interpolated_instantaneous
1993-08-21 02:00:00,36.0,observed_instantaneous
1993-08-21 03:00:00,40.5,linear_interpolated_instantaneous
1993-08-21 04:00:00,45.0,linear_interpolated_instantaneous
1993-08-21 05:00:00,49.5,linear_interpolated_instantaneous
1993-08-21 06:00:00,54.0,observed_instantaneous
1993-08-21 07:00:00,62.5,linear_interpolated_instantaneous
1993-08-21 08:00:00,71.0,observed_instantaneous
1993-08-21 09:00:00,96.83333333333331,linear_interpolated_instantaneous
1993-08-21 10:00:00,122.66666666666666,linear_interpolated_instantaneous
1993-08-21 11:00:00,148.5,linear_interpolated_instantaneous
1993-08-21 12:00:00,174.33333333333331,linear_interpolated_instantaneous
1993-08-21 13:00:00,200.16666666666669,linear_interpolated_instantaneous
1993-08-21 14:00:00,226.0,observed_instantaneous
1993-08-21 15:00:00,247.66666666666663,linear_interpolated_instantaneous
1993-08-21 16:00:00,269.3333333333333,linear_interpolated_instantaneous
1993-08-21 17:00:00,291.0,linear_interpolated_instantaneous
1993-08-21 18:00:00,312.66666666666663,linear_interpolated_instantaneous
1993-08-21 19:00:00,334.33333333333337,linear_interpolated_instantaneous
1993-08-21 20:00:00,356.0,observed_instantaneous
1993-08-21 21:00:00,373.1666666666667,linear_interpolated_instantaneous
1993-08-21 22:00:00,390.3333333333333,linear_interpolated_instantaneous
1993-08-21 23:00:00,407.5,linear_interpolated_instantaneous
1993-08-22 00:00:00,424.6666666666666,linear_interpolated_instantaneous
1993-08-22 01:00:00,441.83333333333337,linear_interpolated_instantaneous
1993-08-22 02:00:00,459.0,observed_instantaneous
1993-08-22 03:00:00,483.0,linear_interpolated_instantaneous
1993-08-22 04:00:00,507.0,observed_instantaneous
1993-08-22 05:00:00,518.0,linear_interpolated_instantaneous
1993-08-22 06:00:00,529.0,observed_instantaneous
1993-08-22 07:00:00,534.0,linear_interpolated_instantaneous
1993-08-22 08:00:00,539.0,observed_instantaneous
1993-08-22 09:00:00,533.0,linear_interpolated_instantaneous
1993-08-22 10:00:00,527.0,observed_instantaneous
1993-08-22 11:00:00,514.8333333333334,linear_interpolated_instantaneous
