time_start,time_end,evaporation_mm,daily_evaporation_label,evaporation_method,discharge_m3s,discharge_quality,all_fields_present
1993-08-19 23:00:00,1993-08-20 00:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,39.0,observed_instantaneous,True
1993-08-20 00:00:00,1993-08-20 01:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,40.5,linear_interpolated_instantaneous,True
1993-08-20 01:00:00,1993-08-20 02:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,42.0,observed_instantaneous,True
1993-08-20 02:00:00,1993-08-20 03:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,42.0,linear_interpolated_instantaneous,True
1993-08-20 03:00:00,1993-08-20 04:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,42.0,observed_instantaneous,True
1993-08-20 04:00:00,1993-08-20 05:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,41.0,linear_interpolated_instantaneous,True
1993-08-20 05:00:00,1993-08-20 06:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,40.0,observed_instantaneous,True
1993-08-20 06:00:00,1993-08-20 07:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,36.5,linear_interpolated_instantaneous,True
1993-08-20 07:00:00,1993-08-20 08:00:00,0.0,1993-08-20 08:00:00,daily_total_divided_by_24,33.0,observed_instantaneous,True
1993-08-20 08:00:00,1993-08-20 09:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,32.0,linear_interpolated_instantaneous,True
1993-08-20 09:00:00,1993-08-20 10:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,31.0,observed_instantaneous,True
1993-08-20 10:00:00,1993-08-20 11:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,28.5,linear_interpolated_instantaneous,True
1993-08-20 11:00:00,1993-08-20 12:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,26.0,observed_instantaneous,True
1993-08-20 12:00:00,1993-08-20 13:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,25.0,linear_interpolated_instantaneous,True
1993-08-20 13:00:00,1993-08-20 14:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,24.0,observed_instantaneous,True
1993-08-20 14:00:00,1993-08-20 15:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,24.0,linear_interpolated_instantaneous,True
1993-08-20 15:00:00,1993-08-20 16:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,24.0,observed_instantaneous,True
1993-08-20 16:00:00,1993-08-20 17:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,25.5,linear_interpolated_instantaneous,True
1993-08-20 17:00:00,1993-08-20 18:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,27.0,observed_instantaneous,True
1993-08-20 18:00:00,1993-08-20 19:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,30.0,linear_interpolated_instantaneous,True
1993-08-20 19:00:00,1993-08-20 20:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,33.0,observed_instantaneous,True
1993-08-20 20:00:00,1993-08-20 21:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,33.5,linear_interpolated_instantaneous,True
1993-08-20 21:00:00,1993-08-20 22:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,34.0,observed_instantaneous,True
1993-08-20 22:00:00,1993-08-20 23:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,32.5,linear_interpolated_instantaneous,True
1993-08-20 23:00:00,1993-08-21 00:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,31.0,observed_instantaneous,True
1993-08-21 00:00:00,1993-08-21 01:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,33.5,linear_interpolated_instantaneous,True
1993-08-21 01:00:00,1993-08-21 02:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,36.0,observed_instantaneous,True
1993-08-21 02:00:00,1993-08-21 03:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,40.5,linear_interpolated_instantaneous,True
1993-08-21 03:00:00,1993-08-21 04:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,45.0,linear_interpolated_instantaneous,True
1993-08-21 04:00:00,1993-08-21 05:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,49.5,linear_interpolated_instantaneous,True
1993-08-21 05:00:00,1993-08-21 06:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,54.0,observed_instantaneous,True
1993-08-21 06:00:00,1993-08-21 07:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,62.5,linear_interpolated_instantaneous,True
1993-08-21 07:00:00,1993-08-21 08:00:00,0.0708333333333333,1993-08-21 08:00:00,daily_total_divided_by_24,71.0,observed_instantaneous,True
1993-08-21 08:00:00,1993-08-21 09:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,96.83333333333331,linear_interpolated_instantaneous,True
1993-08-21 09:00:00,1993-08-21 10:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,122.66666666666666,linear_interpolated_instantaneous,True
1993-08-21 10:00:00,1993-08-21 11:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,148.5,linear_interpolated_instantaneous,True
1993-08-21 11:00:00,1993-08-21 12:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,174.33333333333331,linear_interpolated_instantaneous,True
1993-08-21 12:00:00,1993-08-21 13:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,200.16666666666669,linear_interpolated_instantaneous,True
1993-08-21 13:00:00,1993-08-21 14:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,226.0,observed_instantaneous,True
1993-08-21 14:00:00,1993-08-21 15:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,247.66666666666663,linear_interpolated_instantaneous,True
1993-08-21 15:00:00,1993-08-21 16:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,269.3333333333333,linear_interpolated_instantaneous,True
1993-08-21 16:00:00,1993-08-21 17:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,291.0,linear_interpolated_instantaneous,True
1993-08-21 17:00:00,1993-08-21 18:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,312.66666666666663,linear_interpolated_instantaneous,True
1993-08-21 18:00:00,1993-08-21 19:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,334.33333333333337,linear_interpolated_instantaneous,True
1993-08-21 19:00:00,1993-08-21 20:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,356.0,observed_instantaneous,True
1993-08-21 20:00:00,1993-08-21 21:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,373.1666666666667,linear_interpolated_instantaneous,True
1993-08-21 21:00:00,1993-08-21 22:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,390.3333333333333,linear_interpolated_instantaneous,True
1993-08-21 22:00:00,1993-08-21 23:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,407.5,linear_interpolated_instantaneous,True
1993-08-21 23:00:00,1993-08-22 00:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,424.6666666666666,linear_interpolated_instantaneous,True
1993-08-22 00:00:00,1993-08-22 01:00:00,0.0249999999999999,1993-08-22 08:00:00,daily_total_divided_by_24,441.83333333333337,linear_interpolated_instantaneous,True
