"时间","茶园","腰古","里洞","天堂","樟田","共成","新兴","稔村","南盛","蒸发","流量"
#1997-01-01 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,17.6
#1997-01-02 08:00:00#,0,.3,.7,0,0,.8,0,.1,0,1.5,19.8
#1997-01-03 08:00:00#,0,7.2,4.1,4,8.6,7.3,6.4,0,8.9,.3,20.4
#1997-01-04 08:00:00#,0,0,0,0,0,0,0,0,0,1,19.5
#1997-01-05 08:00:00#,0,0,0,0,0,0,0,0,0,2.6,24
#1997-01-06 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,26.8
#1997-01-07 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,20.5
#1997-01-08 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,19.3
#1997-01-09 08:00:00#,0,0,0,0,0,0,0,0,0,1.9,17.5
#1997-01-10 08:00:00#,0,0,0,0,0,0,0,0,0,2.2,16.3
#1997-01-11 08:00:00#,0,0,0,0,0,0,0,0,0,2.6,17.3
#1997-01-12 08:00:00#,0,0,0,0,0,0,0,0,0,1.8,17.3
#1997-01-13 08:00:00#,0,.3,.4,3.8,.4,1,0,1.5,.1,1.3,17.3
#1997-01-14 08:00:00#,0,0,0,14.7,0,0,0,0,0,.6,17.5
#1997-01-15 08:00:00#,0,0,0,0,0,0,0,0,0,1.9,17.7
#1997-01-16 08:00:00#,0,0,0,0,0,0,0,0,0,1.3,18.6
#1997-01-17 08:00:00#,0,0,0,0,0,0,0,0,0,1.4,16.4
#1997-01-18 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,17.3
#1997-01-19 08:00:00#,0,0,0,0,0,0,0,0,0,1,18.6
#1997-01-20 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,18.6
#1997-01-21 08:00:00#,0,5.6,0,0,14.8,0,7,.2,14.5,.1,19
#1997-01-22 08:00:00#,0,3.2,2.9,0,3.8,3.6,3.4,5.3,3.3,1.4,21.2
#1997-01-23 08:00:00#,0,39,0,0,39.4,46.1,38.2,44.4,37.6,1.2,25.9
#1997-01-24 08:00:00#,0,0,0,0,0,0,0,0,0,2.8,52.7
#1997-01-25 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,34.2
#1997-01-26 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,26.6
#1997-01-27 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,21.6
#1997-01-28 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,20.7
#1997-01-29 08:00:00#,0,0,0,0,0,0,0,0,0,2.5,17.9
#1997-01-30 08:00:00#,0,0,45.9,0,0,0,0,0,0,1,22.7
#1997-01-31 08:00:00#,0,0,0,0,0,0,0,0,0,3.6,21.8
#1997-02-01 08:00:00#,0,0,0,0,0,0,0,.5,0,1.2,19.5
#1997-02-02 08:00:00#,0,6.2,8,8.8,11.1,5.1,8.7,4.6,3.6,.9,18
#1997-02-03 08:00:00#,0,5.3,4.6,4.2,8.6,6.2,7.7,4.1,5.3,1,21
#1997-02-04 08:00:00#,0,0,0,0,.1,1.2,0,0,0,1,21.6
#1997-02-05 08:00:00#,0,8.5,11.5,29.5,7.3,27.1,8.3,17.3,10.4,1.1,16.6
#1997-02-06 08:00:00#,0,20.1,33.5,21.9,18.9,29.4,21.7,31,18.9,.3,20.1
#1997-02-07 08:00:00#,0,.5,.3,.7,.6,.9,0,0,.2,.6,42
#1997-02-08 08:00:00#,0,0,0,.2,0,0,0,0,0,.1,36.8
#1997-02-09 08:00:00#,0,5.1,2,5,15.1,4.9,7.3,3.5,4.6,.1,22
#1997-02-10 08:00:00#,0,8.8,2.8,9.3,10.5,10.2,9.8,8.6,6.4,.2,23.7
#1997-02-11 08:00:00#,0,2.1,2.9,3.4,3.9,2.5,4.3,2.8,2.3,.6,29.3
#1997-02-12 08:00:00#,0,2.8,1.7,5.5,5.4,7.4,5.9,4.6,3.4,.5,25.1
#1997-02-13 08:00:00#,0,11.4,7.3,9.9,8.2,10.7,9.2,10,10.3,.6,27.8
#1997-02-14 08:00:00#,0,12.7,13.7,10.7,14.3,13.3,10.2,12,14.9,.2,32.6
#1997-02-15 08:00:00#,0,1.5,2.4,3.2,1.6,2.6,3.2,4.5,2,.3,37.8
#1997-02-16 08:00:00#,0,.5,0,0,.4,0,0,0,0,1,40.3
#1997-02-17 08:00:00#,0,1.4,.9,0,2.1,2.7,2.2,1.3,1.3,.7,30
#1997-02-18 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,25
#1997-02-19 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,22.1
#1997-02-20 08:00:00#,0,0,0,0,0,0,0,0,0,2.2,20.5
#1997-02-21 08:00:00#,0,0,0,0,0,0,0,0,0,2.6,22.5
#1997-02-22 08:00:00#,0,0,0,0,0,0,0,0,0,2,18.8
#1997-02-23 08:00:00#,0,0,0,0,0,0,0,0,0,1.3,16.4
#1997-02-24 08:00:00#,0,0,0,0,0,0,0,0,0,.9,17.3
#1997-02-25 08:00:00#,0,0,0,0,0,0,0,0,0,1.1,16.6
#1997-02-26 08:00:00#,0,0,.9,0,0,0,0,.3,0,1.6,19.4
#1997-02-27 08:00:00#,0,0,0,0,0,0,0,0,0,1,14.3
#1997-02-28 08:00:00#,0,0,0,0,0,0,0,0,0,2,13.9
#1997-03-01 08:00:00#,0,2.6,2.7,2.8,1.6,6.4,0,4.1,3,2.6,11.2
#1997-03-02 08:00:00#,0,.4,0,0,0,0,9.4,0,.4,2.4,11.2
#1997-03-03 08:00:00#,0,0,0,0,0,0,0,0,0,3.2,15.7
#1997-03-04 08:00:00#,0,0,0,0,0,0,0,0,0,2.9,13.8
#1997-03-05 08:00:00#,0,0,0,0,0,0,0,0,0,2.6,11.2
#1997-03-06 08:00:00#,0,0,0,0,0,0,0,0,0,3.1,15.7
#1997-03-07 08:00:00#,0,0,0,0,0,0,0,0,0,2.7,13.4
#1997-03-08 08:00:00#,0,0,0,0,0,0,0,0,0,2.7,12.3
#1997-03-09 08:00:00#,0,0,0,0,0,0,0,0,0,2.9,12.9
#1997-03-10 08:00:00#,0,0,0,0,0,0,0,0,0,2.1,11.2
#1997-03-11 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,11.1
#1997-03-12 08:00:00#,0,0,0,0,0,0,0,0,0,1.3,13.5
#1997-03-13 08:00:00#,0,0,0,.4,.5,.1,.1,.5,0,1,14.6
#1997-03-14 08:00:00#,0,0,.7,.7,1.1,.2,.2,1.6,0,.3,9.1
#1997-03-15 08:00:00#,0,14.6,10.9,3.4,25.9,18.5,31.9,34.8,41.2,1,10.6
#1997-03-16 08:00:00#,0,32.9,39.8,52.1,52.3,41.5,41.9,28.5,49.2,2.8,54.6
#1997-03-17 08:00:00#,0,.6,1.2,1.4,1.3,1.9,1.4,0,.4,2,86.8
#1997-03-18 08:00:00#,0,1.2,1.3,7.2,3,1.3,.6,2.5,2.4,.6,39.8
#1997-03-19 08:00:00#,0,9.5,17.6,14.9,21.9,24.9,10.6,26.5,6,1.9,37.3
#1997-03-20 08:00:00#,0,10.1,8.8,7.7,7.1,6.9,7.6,9.5,10.3,1.1,62.9
#1997-03-21 08:00:00#,0,1.9,.3,.5,2,.3,.3,.6,2.4,.9,44.8
#1997-03-22 08:00:00#,0,.7,.6,0,.8,.7,.7,.7,.8,.4,35.8
#1997-03-23 08:00:00#,0,0,.3,.6,.7,.1,.7,.2,.1,2,28.4
#1997-03-24 08:00:00#,0,.3,.3,0,.6,.4,.6,.4,.4,1.4,21.7
#1997-03-25 08:00:00#,0,0,0,0,.2,.2,0,.2,0,0,21.1
#1997-03-26 08:00:00#,0,.5,0,.3,1.7,0,.5,.2,2.5,1.3,20
#1997-03-27 08:00:00#,0,0,0,0,0,0,.1,.5,0,1.2,20.6
#1997-03-28 08:00:00#,0,4.6,22.7,11.4,7.3,12.5,6.7,6.5,7.4,0,20.5
#1997-03-29 08:00:00#,0,.2,0,0,.5,0,0,0,0,.9,31.4
#1997-03-30 08:00:00#,0,0,0,0,.1,0,0,0,0,.9,21.2
#1997-03-31 08:00:00#,0,0,0,0,.2,0,0,0,0,2.5,23
#1997-04-01 08:00:00#,0,0,.9,0,0,.2,0,0,0,1.6,18.3
#1997-04-02 08:00:00#,0,0,0,0,0,0,7.5,0,0,1.5,19.6
#1997-04-03 08:00:00#,0,44.3,46.1,55.4,76.8,28.1,0,24.6,56.3,.9,15.7
#1997-04-04 08:00:00#,0,7.8,9.5,11.6,4.4,8.4,67.7,11.7,4.8,1.4,107
#1997-04-05 08:00:00#,0,0,3.6,2.6,0,1.4,7.1,.6,.1,2.6,91.6
#1997-04-06 08:00:00#,0,6.5,3.1,.6,.8,1.2,.4,4.7,5,.5,43.5
#1997-04-07 08:00:00#,0,4.2,11.1,7.3,5.8,5.9,5.4,5,3.7,.2,31.3
#1997-04-08 08:00:00#,0,20.9,9.6,10.5,18.1,7.7,51.6,8,7.1,1.5,36.9
#1997-04-09 08:00:00#,0,22.7,16.8,24.9,22.6,13.3,35.6,20.5,41.2,.9,64.3
#1997-04-10 08:00:00#,0,.7,1.2,2.2,3,2.4,2.4,2.2,.4,2.3,114
#1997-04-11 08:00:00#,0,0,0,0,0,0,0,0,0,1.6,71.2
#1997-04-12 08:00:00#,0,5.3,25.5,22.1,7.1,13,9.1,9.4,7.8,1.3,40.7
#1997-04-13 08:00:00#,0,47.8,42.1,48.1,48.3,42.9,47,42.3,35.7,1.5,49.9
#1997-04-14 08:00:00#,0,24.4,.2,3.8,25.7,16.1,20.2,14.7,6.8,2.3,176
#1997-04-15 08:00:00#,0,.2,5.8,10.6,1,17.5,7.5,19.5,0,2.2,136
#1997-04-16 08:00:00#,0,.3,1.8,.2,.3,2.5,.2,7,.5,1.5,103
#1997-04-17 08:00:00#,0,2.9,2.9,13.5,24.8,1.9,3.7,1.9,2.4,.9,72.4
#1997-04-18 08:00:00#,0,28.7,3.3,33,2.5,48.3,49.3,58.4,11,.4,63.8
#1997-04-19 08:00:00#,0,15.2,30,13.8,12.6,15.6,13.8,10.9,15.1,.2,148
#1997-04-20 08:00:00#,0,0,0,0,0,0,0,.6,0,2.6,103
#1997-04-21 08:00:00#,0,7.6,27,45.1,47.5,14.5,4.7,5.1,42.8,.5,76.1
#1997-04-22 08:00:00#,0,0,0,0,0,0,0,.5,0,0,105
#1997-04-23 08:00:00#,0,46.8,22.2,42.9,39.7,45.1,39.9,38.2,36.3,1.4,81.3
#1997-04-24 08:00:00#,0,2.6,0,.4,.9,1,1.2,.6,3.7,1.6,158
#1997-04-25 08:00:00#,0,0,0,0,0,0,0,0,0,2.8,84.1
#1997-04-26 08:00:00#,0,0,0,0,0,0,0,0,0,4,62.9
#1997-04-27 08:00:00#,0,0,0,0,0,0,0,0,0,3,57.3
#1997-04-28 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,48.6
#1997-04-29 08:00:00#,0,0,12.4,8.3,0,22.3,.9,7.3,.9,3.6,40.9
#1997-04-30 08:00:00#,0,33.9,5.4,6.1,3.6,5.1,2.9,4.7,5.6,4.6,53.7
#1997-05-01 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,52.9
#1997-05-02 08:00:00#,0,0,0,0,0,0,0,0,0,3.4,44.2
#1997-05-03 08:00:00#,0,26.4,27.9,14.2,37.5,11.9,20.8,4.6,27.4,3.5,45
#1997-05-04 08:00:00#,0,1.5,19.4,.9,32.8,15.9,8,5.2,18.7,1.5,56.2
#1997-05-05 08:00:00#,0,26,18.8,34.2,32.3,34.8,21,25.6,9.8,1.4,78.9
#1997-05-06 08:00:00#,0,0,0,0,0,0,0,0,0,2.2,101
#1997-05-07 08:00:00#,0,0,1.4,2.2,.5,2.7,3.2,.8,.8,1,65.5
#1997-05-08 08:00:00#,0,25.2,39.9,46.5,41,56.2,46.1,44.8,17.4,1.1,61.7
#1997-05-09 08:00:00#,0,10.6,24.4,10.6,17,13.9,14.8,9.7,10.2,1,183
#1997-05-10 08:00:00#,0,5.6,14.7,23.2,4.2,7,15,2.3,2.5,1.4,106
