"时间","茶园","腰古","里洞","天堂","樟田","共成","新兴","稔村","南盛","蒸发","流量"
#1998-01-01 08:00:00#,0,0,0,0,0,0,0,0,.3,1.8,18.8
#1998-01-02 08:00:00#,0,0,0,0,.4,0,0,.3,0,1.9,20
#1998-01-03 08:00:00#,0,0,0,0,0,0,0,0,0,.9,15.4
#1998-01-04 08:00:00#,0,.7,0,0,.8,0,.2,0,.5,2,16.1
#1998-01-05 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,17.1
#1998-01-06 08:00:00#,0,0,0,0,0,0,0,0,0,1.4,15.2
#1998-01-07 08:00:00#,0,0,0,0,0,0,0,0,0,.9,16.7
#1998-01-08 08:00:00#,0,0,0,0,0,0,0,0,0,2,15
#1998-01-09 08:00:00#,0,0,0,0,0,0,1.7,4.6,0,1.6,16.7
#1998-01-10 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,16.8
#1998-01-11 08:00:00#,0,0,0,.3,0,0,0,0,0,2.4,17.4
#1998-01-12 08:00:00#,0,0,0,0,0,0,0,.3,0,.9,16.7
#1998-01-13 08:00:00#,0,10.5,1.1,.2,10.2,.3,.1,.5,12.2,.4,16.3
#1998-01-14 08:00:00#,0,55.5,8.6,24.6,32.2,38.5,29,36.5,20.1,1.7,41.4
#1998-01-15 08:00:00#,0,0,.1,0,0,0,0,0,0,2.2,41.5
#1998-01-16 08:00:00#,0,.5,.2,0,0,.8,.6,.3,0,.9,29.7
#1998-01-17 08:00:00#,0,0,0,0,0,0,0,0,0,1.1,24.4
#1998-01-18 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,21.5
#1998-01-19 08:00:00#,0,.9,.2,1.4,1,.7,1,.7,.6,.9,21.4
#1998-01-20 08:00:00#,0,1,.2,.6,.8,1.3,.4,1.4,.5,.4,22.1
#1998-01-21 08:00:00#,0,2,.5,.3,.6,1.5,.5,2.2,.7,0,21.1
#1998-01-22 08:00:00#,0,1.8,1.2,1.9,1.5,1.8,1.5,2.6,.8,.2,24
#1998-01-23 08:00:00#,0,0,.1,0,0,0,0,.1,0,1.4,23
#1998-01-24 08:00:00#,0,0,.1,.1,.2,0,0,0,0,1.1,22.9
#1998-01-25 08:00:00#,0,1.3,.3,.3,2.4,1.6,1.6,1.6,1.6,.4,20.2
#1998-01-26 08:00:00#,0,1.3,.4,1.7,1.5,2,1,2.1,1.2,0,20.7
#1998-01-27 08:00:00#,0,.4,0,.4,.4,.4,.4,.2,.2,.1,22.2
#1998-01-28 08:00:00#,0,0,0,0,0,0,0,0,0,1.9,19.2
#1998-01-29 08:00:00#,0,0,0,0,0,0,0,0,0,.9,19.3
#1998-01-30 08:00:00#,0,0,.2,0,0,0,0,0,0,.6,16.5
#1998-01-31 08:00:00#,0,3.4,0,.2,.9,.2,.2,.9,2.5,.1,15.3
#1998-02-01 08:00:00#,0,1.7,0,0,.3,0,0,.1,.1,1.2,15.4
#1998-02-02 08:00:00#,0,0,0,0,.1,0,0,0,0,.3,14.6
#1998-02-03 08:00:00#,0,8.7,.8,3.8,4.7,2.8,6.4,2.4,5.2,.8,16.1
#1998-02-04 08:00:00#,0,29.8,9.6,8,8.8,15.1,10.7,10.5,9.5,.8,21.9
#1998-02-05 08:00:00#,0,13.9,15.8,9.9,11,11,9.2,10.2,0,.5,26.1
#1998-02-06 08:00:00#,0,4.5,2.6,2,2.1,2.7,1.9,2,2.4,.8,28.9
#1998-02-07 08:00:00#,0,0,0,0,0,.1,0,0,0,2,25.9
#1998-02-08 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,21.4
#1998-02-09 08:00:00#,0,0,0,0,0,0,0,0,0,.3,19
#1998-02-10 08:00:00#,0,0,0,1,0,0,0,.2,0,1.3,17.5
#1998-02-11 08:00:00#,0,0,3.9,0,.2,.3,.6,.5,.2,.4,16.8
#1998-02-12 08:00:00#,0,0,0,1.5,0,0,0,0,0,1,15.8
#1998-02-13 08:00:00#,0,0,0,0,.2,0,0,0,0,1.4,15.7
#1998-02-14 08:00:00#,0,13.4,21.5,21,10.4,21.6,4.9,13.4,2.3,2.9,17.7
#1998-02-15 08:00:00#,0,.1,14.8,1.2,3.1,1.8,.2,9.1,.1,.7,23.4
#1998-02-16 08:00:00#,0,0,.7,2.2,.2,.3,.1,.6,0,.9,19
#1998-02-17 08:00:00#,0,.1,0,7.2,0,0,.2,0,0,1.6,17.3
#1998-02-18 08:00:00#,0,5,9.9,.1,2.1,38.2,2.4,31.1,2.8,.9,16.5
#1998-02-19 08:00:00#,0,.1,0,0,0,0,0,.4,.1,.4,20.3
#1998-02-20 08:00:00#,0,0,0,0,0,0,0,.1,0,1.8,20.2
#1998-02-21 08:00:00#,0,0,0,0,0,0,0,0,.1,3,19.2
#1998-02-22 08:00:00#,0,1.2,5.9,1.9,1.7,2.4,.9,1.4,1.9,1.2,18.9
#1998-02-23 08:00:00#,0,1.9,.8,1.2,2,1.9,1.3,1.9,1.6,.4,16.7
#1998-02-24 08:00:00#,0,0,0,0,0,0,0,0,0,1.1,17.6
#1998-02-25 08:00:00#,0,0,1.7,1,2.3,.8,2.7,2.2,.3,2.3,16.8
#1998-02-26 08:00:00#,0,7.4,5.2,8.2,6.7,9.6,6.2,8.6,8.4,.4,13
#1998-02-27 08:00:00#,0,1.5,1.6,1,2.1,4,1.4,3.1,1.8,.4,13.7
#1998-02-28 08:00:00#,0,1.7,.3,1.6,1.6,2.8,1.7,1.2,1.5,.4,13.7
#1998-03-01 08:00:00#,0,0,0,0,0,0,0,0,0,.2,14
#1998-03-02 08:00:00#,0,0,0,0,1.2,0,0,.1,0,.6,13.5
#1998-03-03 08:00:00#,0,8.3,14.7,16.3,8.6,16.2,12.2,13,7.5,.3,12.7
#1998-03-04 08:00:00#,0,1.8,3.9,2.6,.1,3.6,2.1,4.3,.2,1.3,16.7
#1998-03-05 08:00:00#,0,0,.2,0,.4,0,0,1.7,0,1.2,19.3
#1998-03-06 08:00:00#,0,.4,0,0,.5,.2,0,5.7,.4,.2,14.7
#1998-03-07 08:00:00#,0,0,.2,1.5,1,0,0,.9,.9,.4,13.6
#1998-03-08 08:00:00#,0,0,.3,0,.1,0,0,.1,0,.9,13.1
#1998-03-09 08:00:00#,0,.6,0,.5,3,.6,5.3,2.7,1.5,2.4,12.4
#1998-03-10 08:00:00#,0,1.5,15.3,8.7,1.8,9.5,5.6,8.5,1.9,2.7,14.4
#1998-03-11 08:00:00#,0,1.2,0,0,.9,.2,.4,.3,.4,1.2,17.4
#1998-03-12 08:00:00#,0,0,0,0,0,0,0,0,.1,1.9,15.8
#1998-03-13 08:00:00#,0,0,0,0,0,0,0,0,0,2.4,11.9
#1998-03-14 08:00:00#,0,.2,0,0,.4,.6,.2,0,.2,.2,13
#1998-03-15 08:00:00#,0,2.3,0,.1,2.4,.9,1.8,3.1,1.4,0,17.7
#1998-03-16 08:00:00#,0,0,0,0,0,0,0,1.7,0,.8,16.9
#1998-03-17 08:00:00#,0,0,0,0,0,.4,0,.3,0,.5,17.5
#1998-03-18 08:00:00#,0,0,0,0,0,.1,0,.2,0,1,14.7
#1998-03-19 08:00:00#,0,0,0,0,0,0,0,.2,0,1.3,12.3
#1998-03-20 08:00:00#,0,0,0,0,0,0,0,0,0,3.9,10
#1998-03-21 08:00:00#,0,2.3,1.5,1.5,1.9,3.3,2,2.4,.6,2.7,9.5
#1998-03-22 08:00:00#,0,.2,0,0,.2,.7,.6,.1,.4,1.4,11.2
#1998-03-23 08:00:00#,0,1.6,0,0,.2,1.7,.7,.9,.5,.2,11.6
#1998-03-24 08:00:00#,0,0,0,0,0,.2,0,.2,0,.3,10.4
#1998-03-25 08:00:00#,0,0,0,0,0,.4,0,.1,0,1.4,9.8
#1998-03-26 08:00:00#,0,0,0,0,0,0,0,.1,0,2.2,9.9
#1998-03-27 08:00:00#,0,0,0,0,0,.7,.3,0,0,2.6,12.4
#1998-03-28 08:00:00#,0,11.1,6.4,0,3.5,0,.3,3.1,4.6,3.8,9.4
#1998-03-29 08:00:00#,0,0,0,0,0,0,0,0,0,2.1,10.7
#1998-03-30 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,10.6
#1998-03-31 08:00:00#,0,0,0,0,0,0,0,0,0,2.9,10.6
#1998-04-01 08:00:00#,.6,9,.6,3.1,5.5,2.4,8.5,4.1,15.3,2.6,11.1
#1998-04-02 08:00:00#,0,0,0,0,.1,0,0,0,0,1.2,12
#1998-04-03 08:00:00#,2.8,.6,.7,.5,.4,.9,1.2,.7,.3,1.7,11.4
#1998-04-04 08:00:00#,4.2,3.3,3.1,8.1,6.4,.5,1.5,3.9,3.9,0,11.4
#1998-04-05 08:00:00#,0,0,0,3.4,.1,0,0,.4,.1,1.5,12.6
#1998-04-06 08:00:00#,0,0,0,0,0,0,0,0,.1,1,11.1
#1998-04-07 08:00:00#,0,0,0,0,0,0,0,0,0,3.3,10.1
#1998-04-08 08:00:00#,11.3,6.1,13,19.3,17.6,5.5,1.4,25.6,.9,1.9,8.3
#1998-04-09 08:00:00#,0,0,0,3,0,.8,0,0,0,3,12.7
#1998-04-10 08:00:00#,0,0,0,0,0,0,0,0,0,4,19
#1998-04-11 08:00:00#,62.9,20.2,21.1,25,34.5,14,46.3,23.1,14,2.8,13.5
#1998-04-12 08:00:00#,2.4,0,2.8,1.5,.2,.6,.7,.7,.3,1.5,34.2
#1998-04-13 08:00:00#,5.6,5,.3,.1,2.2,3.8,11,16.7,8.7,1.6,45.9
#1998-04-14 08:00:00#,2.6,8.9,4.8,5.7,9.8,7.1,6.6,8.2,9.5,1.5,40.9
#1998-04-15 08:00:00#,.5,0,0,0,0,0,0,0,0,2.4,38.3
#1998-04-16 08:00:00#,0,0,0,0,0,0,0,0,0,4.4,29.3
#1998-04-17 08:00:00#,0,0,0,0,0,0,0,.1,0,4.5,21.2
#1998-04-18 08:00:00#,0,0,0,.1,0,0,.2,.1,.3,2.9,16.8
#1998-04-19 08:00:00#,.6,4.3,.7,1.5,3,1.6,11.8,.7,15.5,2.2,14.3
#1998-04-20 08:00:00#,2.3,.5,2.3,.1,.3,.1,.1,0,1,1.8,31.5
