time_start,time_end,evaporation_mm,daily_evaporation_label,evaporation_method,discharge_m3s,discharge_quality,all_fields_present
1992-09-05 23:00:00,1992-09-06 00:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.9,observed_instantaneous,True
1992-09-06 00:00:00,1992-09-06 01:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.8125,linear_interpolated_instantaneous,True
1992-09-06 01:00:00,1992-09-06 02:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.725,linear_interpolated_instantaneous,True
1992-09-06 02:00:00,1992-09-06 03:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.6375,linear_interpolated_instantaneous,True
1992-09-06 03:00:00,1992-09-06 04:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.55,linear_interpolated_instantaneous,True
1992-09-06 04:00:00,1992-09-06 05:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.4625,linear_interpolated_instantaneous,True
1992-09-06 05:00:00,1992-09-06 06:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.375,linear_interpolated_instantaneous,True
1992-09-06 06:00:00,1992-09-06 07:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.2875,linear_interpolated_instantaneous,True
1992-09-06 07:00:00,1992-09-06 08:00:00,0.0625,1992-09-06 08:00:00,daily_total_divided_by_24,24.2,observed_instantaneous,True
1992-09-06 08:00:00,1992-09-06 09:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,24.2,linear_interpolated_instantaneous,True
1992-09-06 09:00:00,1992-09-06 10:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,24.2,observed_instantaneous,True
1992-09-06 10:00:00,1992-09-06 11:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,25.55,linear_interpolated_instantaneous,True
1992-09-06 11:00:00,1992-09-06 12:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,26.9,observed_instantaneous,True
1992-09-06 12:00:00,1992-09-06 13:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,29.65,linear_interpolated_instantaneous,True
1992-09-06 13:00:00,1992-09-06 14:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,32.4,observed_instantaneous,True
1992-09-06 14:00:00,1992-09-06 15:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,35.95,linear_interpolated_instantaneous,True
1992-09-06 15:00:00,1992-09-06 16:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,39.5,observed_instantaneous,True
1992-09-06 16:00:00,1992-09-06 17:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,51.65,linear_interpolated_instantaneous,True
1992-09-06 17:00:00,1992-09-06 18:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,63.8,observed_instantaneous,True
1992-09-06 18:00:00,1992-09-06 19:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,86.9,linear_interpolated_instantaneous,True
1992-09-06 19:00:00,1992-09-06 20:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,110.0,observed_instantaneous,True
1992-09-06 20:00:00,1992-09-06 21:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,146.0,linear_interpolated_instantaneous,True
1992-09-06 21:00:00,1992-09-06 22:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,182.0,observed_instantaneous,True
1992-09-06 22:00:00,1992-09-06 23:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,221.0,linear_interpolated_instantaneous,True
1992-09-06 23:00:00,1992-09-07 00:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,260.0,observed_instantaneous,True
1992-09-07 00:00:00,1992-09-07 01:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,283.0,linear_interpolated_instantaneous,True
1992-09-07 01:00:00,1992-09-07 02:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,306.0,observed_instantaneous,True
1992-09-07 02:00:00,1992-09-07 03:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,312.0,linear_interpolated_instantaneous,True
1992-09-07 03:00:00,1992-09-07 04:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,318.0,observed_instantaneous,True
1992-09-07 04:00:00,1992-09-07 05:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,319.0,linear_interpolated_instantaneous,True
1992-09-07 05:00:00,1992-09-07 06:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,320.0,observed_instantaneous,True
1992-09-07 06:00:00,1992-09-07 07:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,320.0,linear_interpolated_instantaneous,True
1992-09-07 07:00:00,1992-09-07 08:00:00,0.1416666666666666,1992-09-07 08:00:00,daily_total_divided_by_24,320.0,observed_instantaneous,True
1992-09-07 08:00:00,1992-09-07 09:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,320.0,linear_interpolated_instantaneous,True
1992-09-07 09:00:00,1992-09-07 10:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,320.0,observed_instantaneous,True
1992-09-07 10:00:00,1992-09-07 11:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,317.0,linear_interpolated_instantaneous,True
1992-09-07 11:00:00,1992-09-07 12:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,314.0,observed_instantaneous,True
1992-09-07 12:00:00,1992-09-07 13:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,308.0,linear_interpolated_instantaneous,True
1992-09-07 13:00:00,1992-09-07 14:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,302.0,linear_interpolated_instantaneous,True
1992-09-07 14:00:00,1992-09-07 15:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,296.0,linear_interpolated_instantaneous,True
1992-09-07 15:00:00,1992-09-07 16:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,290.0,observed_instantaneous,True
1992-09-07 16:00:00,1992-09-07 17:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,290.0,linear_interpolated_instantaneous,True
1992-09-07 17:00:00,1992-09-07 18:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,290.0,observed_instantaneous,True
1992-09-07 18:00:00,1992-09-07 19:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,291.0,linear_interpolated_instantaneous,True
1992-09-07 19:00:00,1992-09-07 20:00:00,0.0166666666666666,1992-09-08 08:00:00,daily_total_divided_by_24,292.0,observed_instantaneous,True
